"label","tweet_id"
"Sympathy and emotional support","'591903085670215681'"
"Other relevant information","'591903104276234242'"
"Sympathy and emotional support","'591903131505659904'"
"Sympathy and emotional support","'591903330449907712'"
"Sympathy and emotional support","'591903857657151488'"
"Sympathy and emotional support","'591903889319796736'"
"Other relevant information","'591904385828950017'"
"Not related or irrelevant","'591904774938759168'"
"Sympathy and emotional support","'591904807025188864'"
"Sympathy and emotional support","'591904874293518336'"
"Other relevant information","'591904895839694848'"
"Other relevant information","'591905390272520192'"
"Sympathy and emotional support","'591905456597106689'"
"Other relevant information","'591906033276035073'"
"Other relevant information","'591906113408274432'"
"Other relevant information","'591906128654565376'"
"Not related or irrelevant","'591906158492852225'"
"Other relevant information","'591906190529028096'"
"Missing, trapped, or found people","'591906203543830529'"
"Infrastructure and utilities","'591906212108578816'"
"Injured or dead people","'591906240277557248'"
"Not related or irrelevant","'591906241238077440'"
"Injured or dead people","'591906251300151297'"
"Sympathy and emotional support","'591906327770836992'"
"Infrastructure and utilities","'591906341893120000'"
"Personal updates","'591906354945634304'"
"Sympathy and emotional support","'591906395106234368'"
"Injured or dead people","'591906430350860288'"
"Infrastructure and utilities","'591906453306249216'"
"Injured or dead people","'591906473283817472'"
"Missing, trapped, or found people","'591906490090278912'"
"Other relevant information","'591906534805938176'"
"Sympathy and emotional support","'591906654536400896'"
"Not related or irrelevant","'591906664422330368'"
"Sympathy and emotional support","'591906701516742658'"
"Other relevant information","'591906719099420672'"
"Sympathy and emotional support","'591906736438513664'"
"Other relevant information","'591906772752867328'"
"Sympathy and emotional support","'591906783595225090'"
"Sympathy and emotional support","'591906860195708929'"
"Infrastructure and utilities","'591907032774508544'"
"Other relevant information","'591907059559464962'"
"Injured or dead people","'591907099082248192'"
"Other relevant information","'591907127112945664'"
"Other relevant information","'591907150252748800'"
"Other relevant information","'591907197820370944'"
"Other relevant information","'591907210315239424'"
"Sympathy and emotional support","'591907214232694784'"
"Other relevant information","'591907246356959232'"
"Sympathy and emotional support","'591907253239820288'"
"Not related or irrelevant","'591907293014466561'"
"Infrastructure and utilities","'591907320105279488'"
"Missing, trapped, or found people","'591907359728926722'"
"Sympathy and emotional support","'591907384877973504'"
"Injured or dead people","'591907490956062720'"
"Infrastructure and utilities","'591907503606226945'"
"Infrastructure and utilities","'591907531829616640'"
"Shelter and supplies","'591907685957763072'"
"Sympathy and emotional support","'591907705998200833'"
"Injured or dead people","'591907778077134848'"
"Missing, trapped, or found people","'591907839355957248'"
"Sympathy and emotional support","'591907880552521728'"
"Sympathy and emotional support","'591907977294143488'"
"Sympathy and emotional support","'591907992301240321'"
"Other relevant information","'591908028993114113'"
"Sympathy and emotional support","'591908085070856192'"
"Injured or dead people","'591908120080850944'"
"Not related or irrelevant","'591908124803485699'"
"Not related or irrelevant","'591908136908230657'"
"Personal updates","'591908141584945152'"
"Other relevant information","'591908184131964928'"
"Sympathy and emotional support","'591908305422913536'"
"Injured or dead people","'591908557815095296'"
"Injured or dead people","'591908564123459584'"
"Missing, trapped, or found people","'591908613146288129'"
"Other relevant information","'591908714279481344'"
"Infrastructure and utilities","'591908737545175040'"
"Sympathy and emotional support","'591908832336433153'"
"Injured or dead people","'591908835264221184'"
"Infrastructure and utilities","'591908943271591936'"
"Other relevant information","'591908970731675648'"
"Personal updates","'591909033579188224'"
"Other relevant information","'591909053728628737'"
"Injured or dead people","'591909114655027200'"
"Other relevant information","'591909140508909569'"
"Not related or irrelevant","'591909154614161409'"
"Sympathy and emotional support","'591909433829011456'"
"Other relevant information","'591909466561470464'"
"Sympathy and emotional support","'591909472315920384'"
"Sympathy and emotional support","'591909503563538433'"
"Other relevant information","'591909505945899008'"
"Other relevant information","'591909609029259264'"
"Sympathy and emotional support","'591909655523254272'"
"Sympathy and emotional support","'591909693611585536'"
"Sympathy and emotional support","'591909733600071680'"
"Other relevant information","'591909766785605632'"
"Infrastructure and utilities","'591909782220484608'"
"Other relevant information","'591909823635001346'"
"Other relevant information","'591909837744701440'"
"Personal updates","'591909854224089090'"
"Injured or dead people","'591909952479891457'"
"Sympathy and emotional support","'591909957290708992'"
"Other relevant information","'591909985598189569'"
"Sympathy and emotional support","'591910046998482944'"
"Sympathy and emotional support","'591910057438105600'"
"Other relevant information","'591910068385353728'"
"Injured or dead people","'591910070600015873'"
"Other relevant information","'591910084583825408'"
"Other relevant information","'591910114451333120'"
"Other relevant information","'591910118851129345'"
"Sympathy and emotional support","'591910216779767808'"
"Injured or dead people","'591910259549044736'"
"Injured or dead people","'591910288510812160'"
"Injured or dead people","'591910317615091713'"
"Other relevant information","'591910321213812737'"
"Injured or dead people","'591910323583483905'"
"Personal updates","'591910365455192064'"
"Sympathy and emotional support","'591910393477365760'"
"Not related or irrelevant","'591910414444863488'"
"Sympathy and emotional support","'591910468165337089'"
"Sympathy and emotional support","'591910488285417472'"
"Sympathy and emotional support","'591910494404874240'"
"Volunteer or professional services","'591910527992991744'"
"Other relevant information","'591910555230851072'"
"Other relevant information","'591910556535115776'"
"Not related or irrelevant","'591910567679369216'"
"Injured or dead people","'591910662865100801'"
"Injured or dead people","'591910678551666688'"
"Other relevant information","'591910752526663680'"
"Sympathy and emotional support","'591910752610492418'"
"Sympathy and emotional support","'591910753151557632'"
"Other relevant information","'591910770385899520'"
"Other relevant information","'591910774840414208'"
"Not related or irrelevant","'591910796298493952'"
"Not related or irrelevant","'591910810093359104'"
"Other relevant information","'591910810332463105'"
"Other relevant information","'591910812425424896'"
"Other relevant information","'591910835930312704'"
"Not related or irrelevant","'591910854758502401'"
"Not related or irrelevant","'591910863960834048'"
"Not related or irrelevant","'591910870361354241'"
"Sympathy and emotional support","'591910878263508992'"
"Not related or irrelevant","'591910898102501377'"
"Sympathy and emotional support","'591910918088314881'"
"Other relevant information","'591910947997884416'"
"Sympathy and emotional support","'591910948878725121'"
"Not related or irrelevant","'591910973562195968'"
"Other relevant information","'591910984182308864'"
"Sympathy and emotional support","'591910996970606592'"
"Sympathy and emotional support","'591911005342404608'"
"Injured or dead people","'591911006068019200'"
"Volunteer or professional services","'591911049760116737'"
"Injured or dead people","'591911051307810817'"
"Other relevant information","'591911061747445760'"
"Sympathy and emotional support","'591911068336672768'"
"Sympathy and emotional support","'591911070714855424'"
"Missing, trapped, or found people","'591911076637319169'"
"Other relevant information","'591911075869696000'"
"Not related or irrelevant","'591911076700106752'"
"Other relevant information","'591911077656551424'"
"Other relevant information","'591911106475614208'"
"Other relevant information","'591911124360110080'"
"Other relevant information","'591911143787995136'"
"Not related or irrelevant","'591911183545868289'"
"Other relevant information","'591911201270956032'"
"Injured or dead people","'591911255729786880'"
"Other relevant information","'591911365557620736'"
"Other relevant information","'591911370192326657'"
"Other relevant information","'591911400693485568'"
"Other relevant information","'591911417076396032'"
"Other relevant information","'591911419869691904'"
