"id","created_at","text","label"
"575736693820514304","Wed Mar 11 19:14:59 +0000 2015","Cyclone Nathan remains Cat 2, but conditions are deteriorating on the FNQ Coast as he enters the stalling phase... http://t.co/Ji9MGQ9BQB","Caution and advice"
"576324757471232000","Fri Mar 13 10:11:44 +0000 2015","“@abcNorthwestwa: Flooding in #Carnarvon #TCOlwyn #CycloneOlwyn http://t.co/crnfVwCzmK http://t.co/wLxCuLcMcj” #nogood #cyclone #allthatfood","Infrastructure and utilities"
"576344945780461568","Fri Mar 13 11:31:57 +0000 2015","Residents on remote islands have been alerted by text msgs from Vanuatu’s National Disaster Mmgt Office http://t.co/5YOjxEIw5X #CyclonePam","Caution and advice"
"576345598397259776","Fri Mar 13 11:34:33 +0000 2015","Photo: Eye of Cyclone Pam nears Vanuatu, winds at 160 mph - @bbcweather: Photo: Eye of Cyclone Pam nears Vanua... http://t.co/HJXJU02Qb9","Caution and advice"
"575736037986578433","Wed Mar 11 19:12:22 +0000 2015","#TCNathan: our first ever tropical cyclone @mycooktown heavy rain all night, waiting for first light","Other relevant information"
"576334008298115073","Fri Mar 13 10:48:30 +0000 2015","Huge cyclone bears down on tiny nation of Vanuatu http://t.co/BI45ZphS76 http://t.co/PtEzsOFCpE","Other relevant information"
"576331469775306752","Fri Mar 13 10:38:24 +0000 2015","Oxfam now preparing to respond to #CyclonePam after it unexpectedly veered west placing number of Vanuatu’s islands directly in eye of storm","Volunteer or professional services"
"576329137805127680","Fri Mar 13 10:29:08 +0000 2015","Talent : Misdirection, Cyclone Pass, Ignite Pass, Vanishing Drive, Phantom Shot #bot","Not related or irrelevant"
"576327226687246336","Fri Mar 13 10:21:33 +0000 2015","#TBH not feeling ok about the cyclone that's gonna be hitting Perth! 

#FeelingScared 😨😕","Not related or irrelevant"
"576348760432775168","Fri Mar 13 11:47:07 +0000 2015","For Sale: Mercury : Comet CYCLONE GT - 406 V-8 - 4SPD… http://t.co/bzBfmkgTLF #usa #classiccars #cars #carsforsale http://t.co/0gSVd7UAA3","Not related or irrelevant"
"575736502006603776","Wed Mar 11 19:14:13 +0000 2015","12/05:05 EST Tropical Cyclone Advice for TC Nathan http://t.co/s7VUHvvoM4","Caution and advice"
