id,created_at,text,label
575736693820514304,Wed Mar 11 19:14:59 +0000 2015,cyclone nathan remains cat D but conditions are deteriorating on the fnq coast as he enters the stalling httpAddress http httpAddress ji9mgq9bqb,Caution and advice
576324757471232000,Fri Mar 13 10:11:44 +0000 2015,usrId flooding in #carnarvon #tcolwyn #cycloneolwyn http httpAddress crnfvwczmk http httpAddress wlxculcmcj #nogood #cyclone #allthatfood,Infrastructure and utilities
576344945780461568,Fri Mar 13 11:31:57 +0000 2015,residents on remote islands have been alerted by text msgs from vanuatus national disaster mmgt office http httpAddress 5yojxeiw5x #cyclonepam,Caution and advice
576345598397259776,Fri Mar 13 11:34:33 +0000 2015,photo eye of cyclone pam nears vanuatu winds at DD mph usrId photo eye of cyclone pam nears httpAddress http httpAddress hjxju02qb9,Caution and advice
575736037986578433,Wed Mar 11 19:12:22 +0000 2015,#tcnathan our first ever tropical cyclone usrId heavy rain all night waiting for first light,Other relevant information
576334008298115073,Fri Mar 13 10:48:30 +0000 2015,huge cyclone bears down on tiny nation of vanuatu http httpAddress bi45zphs76 http httpAddress ptezsofcpe,Other relevant information
576331469775306752,Fri Mar 13 10:38:24 +0000 2015,oxfam now preparing to respond to #cyclonepam after it unexpectedly veered west placing number of vanuatus islands directly in eye of storm,Volunteer or professional services
576329137805127680,Fri Mar 13 10:29:08 +0000 2015,talent misdirection cyclone pass ignite pass vanishing drive phantom shot #bot,Not related or irrelevant
576327226687246336,Fri Mar 13 10:21:33 +0000 2015,#tbh not feeling ok about the cyclone that s gonna be hitting perth ! #feelingscared,Not related or irrelevant
576348760432775168,Fri Mar 13 11:47:07 +0000 2015,for sale mercury comet cyclone gt DD v D 4spd http httpAddress bzbfmkgtlf #usa #classiccars #cars #carsforsale http httpAddress 0gsvd7uaa3,Not related or irrelevant
575736502006603776,Wed Mar 11 19:14:13 +0000 2015,DD DD DD est tropical cyclone advice for tc nathan http httpAddress s7vuhvvom4,Caution and advice
576344514610200576,Fri Mar 13 11:30:14 +0000 2015,latest info cat5 #cyclonepam #pam hitting #portvila #efate island #vanuatu https httpAddress zdd3om6iah #pam #hurricane http httpAddress ujofgpahjr,Caution and advice
576333099790790656,Fri Mar 13 10:44:53 +0000 2015,for school buildings repairs damaged in hud hud cyclone DD amount released into smc httpAddress gangadhar,Not related or irrelevant
